home_team,away_team,home_team_code,away_team_code,year,date,date_time,group_name,round,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_city,stadium_name,stadium_name_official,stadium_name_event,stadium_percentage_filled
France,Greece,FRA,GRE,2004,2004-06-25,2004-06-25T18:45:00Z,,QUARTER_FINALS,45390.0,83168,POR,50061.0,38.76184,-9.164213,Lisbon,Estádio José Alvalade,Estádio José Alvalade,Estádio José Alvalade,90.66938335231018
Portugal,England,POR,ENG,2004,2004-06-24,2004-06-24T18:45:00Z,,QUARTER_FINALS,62564.0,85265,POR,64274.0,38.751488,-9.188022,Lisbon,Estádio do SL Benfica,Estádio do SL Benfica,Estádio do SL Benfica,97.33951520054765
Germany,Czechia,GER,CZE,2004,2004-06-23,2004-06-23T18:45:00Z,Group D,GROUP_STANDINGS,46849.0,83168,POR,50061.0,38.76184,-9.164213,Lisbon,Estádio José Alvalade,Estádio José Alvalade,Estádio José Alvalade,93.58382773016919
Netherlands,Latvia,NED,LVA,2004,2004-06-23,2004-06-23T18:45:00Z,Group D,GROUP_STANDINGS,27904.0,85534,POR,30286.0,41.5625056,-8.4297861,Braga,Estádio Municipal de Braga,Estádio Municipal de Braga,Estádio Municipal de Braga,92.13497985868058
Denmark,Sweden,DEN,SWE,2004,2004-06-22,2004-06-22T18:45:00Z,Group C,GROUP_STANDINGS,26115.0,63244,POR,26324.0,41.1622667,-8.6424694,Porto,Estádio do Bessa XXI,Estádio do Bessa XXI,Estádio do Bessa XXI,99.2060477131135
Italy,Bulgaria,ITA,BUL,2004,2004-06-22,2004-06-22T18:45:00Z,Group C,GROUP_STANDINGS,16002.0,53487,POR,29098.0,41.4458917,-8.3012,Guimaraes,Estádio D. Afonso Henriques,Estádio D. Afonso Henriques,Estádio D. Afonso Henriques,54.99347034160424
Croatia,England,CRO,ENG,2004,2004-06-21,2004-06-21T18:45:00Z,Group B,GROUP_STANDINGS,57047.0,85265,POR,64274.0,38.751488,-9.188022,Lisbon,Estádio do SL Benfica,Estádio do SL Benfica,Estádio do SL Benfica,88.75595108441982
Switzerland,France,SUI,FRA,2004,2004-06-21,2004-06-21T18:45:00Z,Group B,GROUP_STANDINGS,28111.0,83175,POR,29622.0,40.2033778,-8.4076611,Coimbra,Estádio Cidade de Coimbra,Estádio Cidade de Coimbra,Estádio Cidade de Coimbra,94.8990615083384
Russia,Greece,RUS,GRE,2004,2004-06-20,2004-06-20T18:45:00Z,Group A,GROUP_STANDINGS,24347.0,83174,POR,21329.0,37.0882972,-7.9747528,Faro-Loulé,Estádio Algarve,Estádio Algarve,Estádio Algarve,114.14974916779971
Spain,Portugal,ESP,POR,2004,2004-06-20,2004-06-20T18:45:00Z,Group A,GROUP_STANDINGS,47491.0,83168,POR,50061.0,38.76184,-9.164213,Lisbon,Estádio José Alvalade,Estádio José Alvalade,Estádio José Alvalade,94.86626315894608
