home_team,away_team,home_team_code,away_team_code,year,date,date_time,group_name,round,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_city,stadium_name,stadium_name_official,stadium_name_event,stadium_percentage_filled
Netherlands,Commonwealth of Independent States,NED,CIS,1992,1992-06-15,1992-06-15T18:15:00Z,Group 2,GROUP_STANDINGS,34440.0,62420,SWE,39705.0,57.7059583,11.9872333,Gothenburg,Ullevi,Ullevi,Ullevi,86.73970532678504
Scotland,Germany,SCO,GER,1992,1992-06-15,1992-06-15T15:15:00Z,Group 2,GROUP_STANDINGS,17800.0,63092,SWE,10227.0,58.584325,16.1730389,Norrkoping,NYA Parken,NYA Parken,NYA Parken,174.04908575339786
Sweden,Denmark,SWE,DEN,1992,1992-06-14,1992-06-14T18:15:00Z,Group 1,GROUP_STANDINGS,29902.0,57672,SWE,35572.0,59.3627111,17.9962972,Solna,Råsunda,Råsunda,Råsunda,84.0604970201282
France,England,FRA,ENG,1992,1992-06-14,1992-06-14T15:15:00Z,Group 1,GROUP_STANDINGS,26535.0,53480,SWE,1541.0,55.5948906,12.9956894,Malmö,Malmö Idrottsplats,Malmö Idrottsplats,Malmö Idrottsplats,1721.9338092147957
Commonwealth of Independent States,Germany,CIS,GER,1992,1992-06-12,1992-06-12T18:15:00Z,Group 2,GROUP_STANDINGS,17700.0,63092,SWE,10227.0,58.584325,16.1730389,Norrkoping,NYA Parken,NYA Parken,NYA Parken,173.0712819008507
Netherlands,Scotland,NED,SCO,1992,1992-06-12,1992-06-12T15:15:00Z,Group 2,GROUP_STANDINGS,35720.0,62420,SWE,39705.0,57.7059583,11.9872333,Gothenburg,Ullevi,Ullevi,Ullevi,89.96348066994081
Denmark,England,DEN,ENG,1992,1992-06-11,1992-06-11T18:15:00Z,Group 1,GROUP_STANDINGS,26385.0,53480,SWE,1541.0,55.5948906,12.9956894,Malmö,Malmö Idrottsplats,Malmö Idrottsplats,Malmö Idrottsplats,1712.1998702141468
Sweden,France,SWE,FRA,1992,1992-06-10,1992-06-10T18:15:00Z,Group 1,GROUP_STANDINGS,30000.0,57672,SWE,35572.0,59.3627111,17.9962972,Solna,Råsunda,Råsunda,Råsunda,84.33599460249634
Czechia,Germany,CZE,GER,1996,1996-06-30,1996-06-30T18:00:00Z,,FINAL,73611.0,53105,ENG,78311.0,51.5559,-0.2797722,London,Wembley (old),Wembley (old),Wembley (old),93.99828887384915
Germany,England,GER,ENG,1996,1996-06-26,1996-06-26T18:30:00Z,,SEMIFINAL,75862.0,53105,ENG,78311.0,51.5559,-0.2797722,London,Wembley (old),Wembley (old),Wembley (old),96.87272541533119
France,Czechia,FRA,CZE,1996,1996-06-26,1996-06-26T15:00:00Z,,SEMIFINAL,43877.0,53106,ENG,73924.0,53.4630583,-2.2913417,Manchester,Old Trafford,Old Trafford,Old Trafford,59.35420161246686
Czechia,Portugal,CZE,POR,1996,1996-06-23,1996-06-23T17:30:00Z,,QUARTER_FINALS,26832.0,53108,ENG,42788.0,52.5091278,-1.8848306,Birmingham,Villa Park,Villa Park,Villa Park,62.70917079555015
Germany,Croatia,GER,CRO,1996,1996-06-23,1996-06-23T14:00:00Z,,QUARTER_FINALS,43412.0,53106,ENG,73924.0,53.4630583,-2.2913417,Manchester,Old Trafford,Old Trafford,Old Trafford,58.72517720902548
France,Netherlands,FRA,NED,1996,1996-06-22,1996-06-22T17:30:00Z,,QUARTER_FINALS,37465.0,53109,ENG,54022.0,53.4308,-2.9608472,Liverpool,Anfield,Anfield,Anfield,69.35137536559179
Spain,England,ESP,ENG,1996,1996-06-22,1996-06-22T14:00:00Z,,QUARTER_FINALS,75440.0,53105,ENG,78311.0,51.5559,-0.2797722,London,Wembley (old),Wembley (old),Wembley (old),96.33384837379168
Italy,Germany,ITA,GER,1996,1996-06-19,1996-06-19T18:30:00Z,Group C,GROUP_STANDINGS,53740.0,53106,ENG,73924.0,53.4630583,-2.2913417,Manchester,Old Trafford,Old Trafford,Old Trafford,72.69628266868676
Russia,Czechia,RUS,CZE,1996,1996-06-19,1996-06-19T18:30:00Z,Group C,GROUP_STANDINGS,21128.0,53109,ENG,54022.0,53.4308,-2.9608472,Liverpool,Anfield,Anfield,Anfield,39.109992225389654
Türkiye,Denmark,TUR,DEN,1996,1996-06-19,1996-06-19T15:30:00Z,Group D,GROUP_STANDINGS,28951.0,62409,ENG,39814.0,53.4114056,-1.5006167,Sheffield,Hillsborough,Hillsborough,Hillsborough,72.71562766865927
Croatia,Portugal,CRO,POR,1996,1996-06-19,1996-06-19T15:30:00Z,Group D,GROUP_STANDINGS,20484.0,63330,ENG,30000.0,52.9399306,-1.1328944,Nottingham,City Ground,City Ground,City Ground,68.28
Netherlands,England,NED,ENG,1996,1996-06-18,1996-06-18T18:30:00Z,Group A,GROUP_STANDINGS,76798.0,53105,ENG,78311.0,51.5559,-0.2797722,London,Wembley (old),Wembley (old),Wembley (old),98.06795980130505
Scotland,Switzerland,SCO,SUI,1996,1996-06-18,1996-06-18T18:30:00Z,Group A,GROUP_STANDINGS,34926.0,53108,ENG,42788.0,52.5091278,-1.8848306,Birmingham,Villa Park,Villa Park,Villa Park,81.62568944563895
Romania,Spain,ROU,ESP,1996,1996-06-18,1996-06-18T15:30:00Z,Group B,GROUP_STANDINGS,32719.0,62097,ENG,37792.0,53.7778028,-1.5722111,Leeds,Elland Road,Elland Road,Elland Road,86.57652413209145
France,Bulgaria,FRA,BUL,1996,1996-06-18,1996-06-18T15:30:00Z,Group B,GROUP_STANDINGS,26976.0,62098,ENG,52258.0,54.9755444,-1.6216361,Newcastle,St James' Park,St James' Park,St James' Park,51.62080447012898
Croatia,Denmark,CRO,DEN,1996,1996-06-16,1996-06-16T17:00:00Z,Group D,GROUP_STANDINGS,33671.0,62409,ENG,39814.0,53.4114056,-1.5006167,Sheffield,Hillsborough,Hillsborough,Hillsborough,84.5707540061285
Russia,Germany,RUS,GER,1996,1996-06-16,1996-06-16T14:00:00Z,Group C,GROUP_STANDINGS,50760.0,53106,ENG,73924.0,53.4630583,-2.2913417,Manchester,Old Trafford,Old Trafford,Old Trafford,68.66511552405173
France,Spain,FRA,ESP,1996,1996-06-15,1996-06-15T17:00:00Z,Group B,GROUP_STANDINGS,35626.0,62097,ENG,37792.0,53.7778028,-1.5722111,Leeds,Elland Road,Elland Road,Elland Road,94.2686282811177
Scotland,England,SCO,ENG,1996,1996-06-15,1996-06-15T14:00:00Z,Group A,GROUP_STANDINGS,76864.0,53105,ENG,78311.0,51.5559,-0.2797722,London,Wembley (old),Wembley (old),Wembley (old),98.15223914903399
Czechia,Italy,CZE,ITA,1996,1996-06-14,1996-06-14T18:30:00Z,Group C,GROUP_STANDINGS,37320.0,53109,ENG,54022.0,53.4308,-2.9608472,Liverpool,Anfield,Anfield,Anfield,69.08296619895599
Portugal,Türkiye,POR,TUR,1996,1996-06-14,1996-06-14T15:30:00Z,Group D,GROUP_STANDINGS,22670.0,63330,ENG,30000.0,52.9399306,-1.1328944,Nottingham,City Ground,City Ground,City Ground,75.56666666666668
Switzerland,Netherlands,SUI,NED,1996,1996-06-13,1996-06-13T18:30:00Z,Group A,GROUP_STANDINGS,36800.0,53108,ENG,42788.0,52.5091278,-1.8848306,Birmingham,Villa Park,Villa Park,Villa Park,86.00542208095727
Bulgaria,Romania,BUL,ROU,1996,1996-06-13,1996-06-13T15:30:00Z,Group B,GROUP_STANDINGS,19107.0,62098,ENG,52258.0,54.9755444,-1.6216361,Newcastle,St James' Park,St James' Park,St James' Park,36.56282291706533
Türkiye,Croatia,TUR,CRO,1996,1996-06-11,1996-06-11T18:30:00Z,Group D,GROUP_STANDINGS,22460.0,63330,ENG,30000.0,52.9399306,-1.1328944,Nottingham,City Ground,City Ground,City Ground,74.86666666666667
Italy,Russia,ITA,RUS,1996,1996-06-11,1996-06-11T15:30:00Z,Group C,GROUP_STANDINGS,35120.0,53109,ENG,54022.0,53.4308,-2.9608472,Liverpool,Anfield,Anfield,Anfield,65.01055125689534
Romania,France,ROU,FRA,1996,1996-06-10,1996-06-10T18:30:00Z,Group B,GROUP_STANDINGS,26323.0,62098,ENG,52258.0,54.9755444,-1.6216361,Newcastle,St James' Park,St James' Park,St James' Park,50.37123502621608
Netherlands,Scotland,NED,SCO,1996,1996-06-10,1996-06-10T15:30:00Z,Group A,GROUP_STANDINGS,34363.0,53108,ENG,42788.0,52.5091278,-1.8848306,Birmingham,Villa Park,Villa Park,Villa Park,80.30989997195476
Denmark,Portugal,DEN,POR,1996,1996-06-09,1996-06-09T18:30:00Z,Group D,GROUP_STANDINGS,34993.0,62409,ENG,39814.0,53.4114056,-1.5006167,Sheffield,Hillsborough,Hillsborough,Hillsborough,87.89119405234341
Germany,Czechia,GER,CZE,1996,1996-06-09,1996-06-09T16:00:00Z,Group C,GROUP_STANDINGS,37300.0,53106,ENG,73924.0,53.4630583,-2.2913417,Manchester,Old Trafford,Old Trafford,Old Trafford,50.45722634056599
Spain,Bulgaria,ESP,BUL,1996,1996-06-09,1996-06-09T13:30:00Z,Group B,GROUP_STANDINGS,24006.0,62097,ENG,37792.0,53.7778028,-1.5722111,Leeds,Elland Road,Elland Road,Elland Road,63.52138018628282
England,Switzerland,ENG,SUI,1996,1996-06-08,1996-06-08T14:00:00Z,Group A,GROUP_STANDINGS,76567.0,53105,ENG,78311.0,51.5559,-0.2797722,London,Wembley (old),Wembley (old),Wembley (old),97.77298208425381
Italy,Yugoslavia,ITA,YUG,1968,1968-06-10,1968-06-10T20:15:00Z,,FINAL,32886.0,57775,ITA,69689.0,41.9339222,12.4546833,Rome,Stadio Olimpico,Stadio Olimpico,Olimpico in Rome,47.18965690424601
Italy,Yugoslavia,ITA,YUG,1968,1968-06-08,1968-06-08T21:15:00Z,,FINAL,68817.0,57775,ITA,69689.0,41.9339222,12.4546833,Rome,Stadio Olimpico,Stadio Olimpico,Olimpico in Rome,98.74872648481109
England,USSR,ENG,URS,1968,1968-06-08,1968-06-08T14:00:00Z,,THIRD_PLAY_OFF,68817.0,57775,ITA,69689.0,41.9339222,12.4546833,Rome,Stadio Olimpico,Stadio Olimpico,Olimpico in Rome,98.74872648481109
Yugoslavia,England,YUG,ENG,1968,1968-06-05,1968-06-05T20:15:00Z,,SEMIFINAL,21834.0,62991,ITA,34629.0,43.7817444,11.2827444,Florence,Stadio Artemio Franchi,Stadio Artemio Franchi,Stadio Artemio Franchi,63.05119986138785
Italy,USSR,ITA,URS,1968,1968-06-05,1968-06-05T17:00:00Z,,SEMIFINAL,68582.0,62425,ITA,54726.0,40.8280889,14.1928694,Naples,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,125.3188612359756
Belgium,West Germany,BEL,FRG,1980,1980-06-22,1980-06-22T18:30:00Z,,FINAL,47860.0,57775,ITA,69689.0,41.9339222,12.4546833,Rome,Stadio Olimpico,Stadio Olimpico,Olimpico in Rome,68.67654866621706
Czechoslovakia,Italy,TCH,ITA,1980,1980-06-21,1980-06-21T18:30:00Z,,THIRD_PLAY_OFF,24652.0,62425,ITA,54726.0,40.8280889,14.1928694,Naples,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,45.04623031100391
Italy,Belgium,ITA,BEL,1980,1980-06-18,1980-06-18T18:30:00Z,Group 2,GROUP_STANDINGS,42318.0,57775,ITA,69689.0,41.9339222,12.4546833,Rome,Stadio Olimpico,Stadio Olimpico,Olimpico in Rome,60.724074100647165
Spain,England,ESP,ENG,1980,1980-06-18,1980-06-18T15:45:00Z,Group 2,GROUP_STANDINGS,14440.0,62425,ITA,54726.0,40.8280889,14.1928694,Naples,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,26.385995687607355
Greece,West Germany,GRE,FRG,1980,1980-06-17,1980-06-17T18:30:00Z,Group 1,GROUP_STANDINGS,13901.0,57778,ITA,66979.0,45.1095472,7.6412806,Turin,Delle Alpi,Delle Alpi,Delle Alpi,20.754266262559906
Netherlands,Czechoslovakia,NED,TCH,1980,1980-06-17,1980-06-17T15:45:00Z,Group 1,GROUP_STANDINGS,11889.0,57771,ITA,75725.0,45.4797849,9.1246561,Milan,Stadio San Siro,Stadio San Siro,Stadio San Siro,15.70023109937273
England,Italy,ENG,ITA,1980,1980-06-15,1980-06-15T18:30:00Z,Group 2,GROUP_STANDINGS,59649.0,57778,ITA,66979.0,45.1095472,7.6412806,Turin,Delle Alpi,Delle Alpi,Delle Alpi,89.05627136863792
Belgium,Spain,BEL,ESP,1980,1980-06-15,1980-06-15T15:45:00Z,Group 2,GROUP_STANDINGS,11430.0,57771,ITA,75725.0,45.4797849,9.1246561,Milan,Stadio San Siro,Stadio San Siro,Stadio San Siro,15.094090458897325
Greece,Czechoslovakia,GRE,TCH,1980,1980-06-14,1980-06-14T18:30:00Z,Group 1,GROUP_STANDINGS,7614.0,57775,ITA,69689.0,41.9339222,12.4546833,Rome,Stadio Olimpico,Stadio Olimpico,Olimpico in Rome,10.925684110835283
West Germany,Netherlands,FRG,NED,1980,1980-06-14,1980-06-14T15:45:00Z,Group 1,GROUP_STANDINGS,29889.0,62425,ITA,54726.0,40.8280889,14.1928694,Naples,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,54.61572196031137
Spain,Italy,ESP,ITA,1980,1980-06-12,1980-06-12T18:30:00Z,Group 2,GROUP_STANDINGS,46337.0,57771,ITA,75725.0,45.4797849,9.1246561,Milan,Stadio San Siro,Stadio San Siro,Stadio San Siro,61.19115219544404
Belgium,England,BEL,ENG,1980,1980-06-12,1980-06-12T15:45:00Z,Group 2,GROUP_STANDINGS,15186.0,57778,ITA,66979.0,45.1095472,7.6412806,Turin,Delle Alpi,Delle Alpi,Delle Alpi,22.672778034906464
Netherlands,Greece,NED,GRE,1980,1980-06-11,1980-06-11T18:30:00Z,Group 1,GROUP_STANDINGS,14990.0,62425,ITA,54726.0,40.8280889,14.1928694,Naples,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,27.391002448561924
Czechoslovakia,West Germany,TCH,FRG,1980,1980-06-11,1980-06-11T15:45:00Z,Group 1,GROUP_STANDINGS,10500.0,57775,ITA,69689.0,41.9339222,12.4546833,Rome,Stadio Olimpico,Stadio Olimpico,Olimpico in Rome,15.066940263169224
Germany,Spain,GER,ESP,2008,2008-06-29,2008-06-29T18:45:00Z,,FINAL,51428.0,62085,AUT,49898.0,48.2071889,16.4205083,Vienna,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion,103.06625516052748
Russia,Spain,RUS,ESP,2008,2008-06-26,2008-06-26T18:45:00Z,,SEMIFINAL,51428.0,62085,AUT,49898.0,48.2071889,16.4205083,Vienna,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion,103.06625516052748
Germany,Türkiye,GER,TUR,2008,2008-06-25,2008-06-25T18:45:00Z,,SEMIFINAL,39374.0,63171,SUI,36000.0,47.5416361,7.620125,Basel,St. Jakob-Park,St. Jakob-Park,St. Jakob-Park,109.37222222222222
Spain,Italy,ESP,ITA,2008,2008-06-22,2008-06-22T18:45:00Z,,QUARTER_FINALS,51178.0,62085,AUT,49898.0,48.2071889,16.4205083,Vienna,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion,102.56523307547396
Netherlands,Russia,NED,RUS,2008,2008-06-21,2008-06-21T18:45:00Z,,QUARTER_FINALS,38374.0,63171,SUI,36000.0,47.5416361,7.620125,Basel,St. Jakob-Park,St. Jakob-Park,St. Jakob-Park,106.59444444444443
Croatia,Türkiye,CRO,TUR,2008,2008-06-20,2008-06-20T18:45:00Z,,QUARTER_FINALS,51428.0,62085,AUT,49898.0,48.2071889,16.4205083,Vienna,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion,103.06625516052748
Portugal,Germany,POR,GER,2008,2008-06-19,2008-06-19T18:45:00Z,,QUARTER_FINALS,39374.0,63171,SUI,36000.0,47.5416361,7.620125,Basel,St. Jakob-Park,St. Jakob-Park,St. Jakob-Park,109.37222222222222
Russia,Sweden,RUS,SWE,2008,2008-06-18,2008-06-18T18:45:00Z,Group D,GROUP_STANDINGS,30772.0,77473,AUT,14932.0,47.2560139,11.4111694,Innsbruck,Tivoli Stadion Tirol,Tivoli Stadion Tirol,Tivoli Stadion Tirol,206.08090008036433
Greece,Spain,GRE,ESP,2008,2008-06-18,2008-06-18T18:45:00Z,Group D,GROUP_STANDINGS,30883.0,83487,AUT,30071.0,47.8162861,12.9981972,Salzburg,Stadion Salzburg,Stadion Salzburg,Stadion Salzburg,102.70027601343487
France,Italy,FRA,ITA,2008,2008-06-17,2008-06-17T18:45:00Z,Group C,GROUP_STANDINGS,30585.0,63175,SUI,24056.0,47.3828028,8.5037194,Zurich,Stadion Letzigrund,Stadion Letzigrund,Stadion Letzigrund,127.14083804456268
Netherlands,Romania,NED,ROU,2008,2008-06-17,2008-06-17T18:45:00Z,Group C,GROUP_STANDINGS,30777.0,89590,SUI,31500.0,46.9631194,7.464875,Bern,Stadion Wankdorf,Stadion Wankdorf,Stadion Wankdorf,97.70476190476191
Austria,Germany,AUT,GER,2008,2008-06-16,2008-06-16T18:45:00Z,Group B,GROUP_STANDINGS,51428.0,62085,AUT,49898.0,48.2071889,16.4205083,Vienna,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion,103.06625516052748
Poland,Croatia,POL,CRO,2008,2008-06-16,2008-06-16T18:45:00Z,Group B,GROUP_STANDINGS,30461.0,80676,AUT,29863.0,46.608945,14.277495,Klagenfurt,Wörthersee Stadion,Wörthersee Stadion,Wörthersee Stadion,102.00247798278808
Türkiye,Czechia,TUR,CZE,2008,2008-06-15,2008-06-15T18:45:00Z,Group A,GROUP_STANDINGS,29016.0,83180,SUI,26000.0,46.1779972,6.1272833,Geneva,Stade de Genève,Stade de Genève,Stade de Genève,111.60000000000001
Switzerland,Portugal,SUI,POR,2008,2008-06-15,2008-06-15T18:45:00Z,Group A,GROUP_STANDINGS,39730.0,63171,SUI,36000.0,47.5416361,7.620125,Basel,St. Jakob-Park,St. Jakob-Park,St. Jakob-Park,110.36111111111111
Greece,Russia,GRE,RUS,2008,2008-06-14,2008-06-14T18:45:00Z,Group D,GROUP_STANDINGS,31063.0,83487,AUT,30071.0,47.8162861,12.9981972,Salzburg,Stadion Salzburg,Stadion Salzburg,Stadion Salzburg,103.29885936616674
Sweden,Spain,SWE,ESP,2008,2008-06-14,2008-06-14T16:00:00Z,Group D,GROUP_STANDINGS,30772.0,77473,AUT,14932.0,47.2560139,11.4111694,Innsbruck,Tivoli Stadion Tirol,Tivoli Stadion Tirol,Tivoli Stadion Tirol,206.08090008036433
Netherlands,France,NED,FRA,2008,2008-06-13,2008-06-13T18:45:00Z,Group C,GROUP_STANDINGS,30777.0,89590,SUI,31500.0,46.9631194,7.464875,Bern,Stadion Wankdorf,Stadion Wankdorf,Stadion Wankdorf,97.70476190476191
Italy,Romania,ITA,ROU,2008,2008-06-13,2008-06-13T16:00:00Z,Group C,GROUP_STANDINGS,30585.0,63175,SUI,24056.0,47.3828028,8.5037194,Zurich,Stadion Letzigrund,Stadion Letzigrund,Stadion Letzigrund,127.14083804456268
Austria,Poland,AUT,POL,2008,2008-06-12,2008-06-12T18:45:00Z,Group B,GROUP_STANDINGS,51428.0,62085,AUT,49898.0,48.2071889,16.4205083,Vienna,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion,103.06625516052748
Croatia,Germany,CRO,GER,2008,2008-06-12,2008-06-12T16:00:00Z,Group B,GROUP_STANDINGS,30461.0,80676,AUT,29863.0,46.608945,14.277495,Klagenfurt,Wörthersee Stadion,Wörthersee Stadion,Wörthersee Stadion,102.00247798278808
Switzerland,Türkiye,SUI,TUR,2008,2008-06-11,2008-06-11T18:45:00Z,Group A,GROUP_STANDINGS,39730.0,63171,SUI,36000.0,47.5416361,7.620125,Basel,St. Jakob-Park,St. Jakob-Park,St. Jakob-Park,110.36111111111111
Czechia,Portugal,CZE,POR,2008,2008-06-11,2008-06-11T16:00:00Z,Group A,GROUP_STANDINGS,29016.0,83180,SUI,26000.0,46.1779972,6.1272833,Geneva,Stade de Genève,Stade de Genève,Stade de Genève,111.60000000000001
Greece,Sweden,GRE,SWE,2008,2008-06-10,2008-06-10T18:45:00Z,Group D,GROUP_STANDINGS,31063.0,83487,AUT,30071.0,47.8162861,12.9981972,Salzburg,Stadion Salzburg,Stadion Salzburg,Stadion Salzburg,103.29885936616674
Spain,Russia,ESP,RUS,2008,2008-06-10,2008-06-10T16:00:00Z,Group D,GROUP_STANDINGS,30772.0,77473,AUT,14932.0,47.2560139,11.4111694,Innsbruck,Tivoli Stadion Tirol,Tivoli Stadion Tirol,Tivoli Stadion Tirol,206.08090008036433
Netherlands,Italy,NED,ITA,2008,2008-06-09,2008-06-09T18:45:00Z,Group C,GROUP_STANDINGS,30777.0,89590,SUI,31500.0,46.9631194,7.464875,Bern,Stadion Wankdorf,Stadion Wankdorf,Stadion Wankdorf,97.70476190476191
Romania,France,ROU,FRA,2008,2008-06-09,2008-06-09T16:00:00Z,Group C,GROUP_STANDINGS,30585.0,63175,SUI,24056.0,47.3828028,8.5037194,Zurich,Stadion Letzigrund,Stadion Letzigrund,Stadion Letzigrund,127.14083804456268
Germany,Poland,GER,POL,2008,2008-06-08,2008-06-08T18:45:00Z,Group B,GROUP_STANDINGS,30000.0,80676,AUT,29863.0,46.608945,14.277495,Klagenfurt,Wörthersee Stadion,Wörthersee Stadion,Wörthersee Stadion,100.45876167833106
Austria,Croatia,AUT,CRO,2008,2008-06-08,2008-06-08T16:00:00Z,Group B,GROUP_STANDINGS,51428.0,62085,AUT,49898.0,48.2071889,16.4205083,Vienna,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion,103.06625516052748
Portugal,Türkiye,POR,TUR,2008,2008-06-07,2008-06-07T18:45:00Z,Group A,GROUP_STANDINGS,29106.0,83180,SUI,26000.0,46.1779972,6.1272833,Geneva,Stade de Genève,Stade de Genève,Stade de Genève,111.94615384615385
Switzerland,Czechia,SUI,CZE,2008,2008-06-07,2008-06-07T16:00:00Z,Group A,GROUP_STANDINGS,39730.0,63171,SUI,36000.0,47.5416361,7.620125,Basel,St. Jakob-Park,St. Jakob-Park,St. Jakob-Park,110.36111111111111
Italy,England,ITA,ENG,2020,2021-07-11,2021-07-11T19:00:00Z,,FINAL,67173.0,1100043,ENG,87360.0,51.5558417,-0.2795972,London,Wembley Stadium,Wembley Stadium,Wembley Stadium,76.89217032967034
England,Denmark,ENG,DEN,2020,2021-07-07,2021-07-07T19:00:00Z,,SEMIFINAL,64950.0,1100043,ENG,87360.0,51.5558417,-0.2795972,London,Wembley Stadium,Wembley Stadium,Wembley Stadium,74.34752747252747
Italy,Spain,ITA,ESP,2020,2021-07-06,2021-07-06T19:00:00Z,,SEMIFINAL,57811.0,1100043,ENG,87360.0,51.5558417,-0.2795972,London,Wembley Stadium,Wembley Stadium,Wembley Stadium,66.17559523809524
Ukraine,England,UKR,ENG,2020,2021-07-03,2021-07-03T19:00:00Z,,QUARTER_FINALS,11880.0,57775,ITA,69689.0,41.9339222,12.4546833,Rome,Olimpico in Rome,Stadio Olimpico,Olimpico in Rome,17.04716669775718
Czechia,Denmark,CZE,DEN,2020,2021-07-03,2021-07-03T16:00:00Z,,QUARTER_FINALS,16306.0,250002745,AZE,68700.0,40.429766,49.91979,Baku,Baku Olympic Stadium,Baku Olympic Stadium,Baku Olympic Stadium,23.735080058224163
Belgium,Italy,BEL,ITA,2020,2021-07-02,2021-07-02T19:00:00Z,,QUARTER_FINALS,12984.0,85441,GER,75000.0,48.2187944,11.6247306,Munich,Munich Football Arena,Fußball Arena München,Munich Football Arena,17.312
Switzerland,Spain,SUI,ESP,2020,2021-07-02,2021-07-02T16:00:00Z,,QUARTER_FINALS,24764.0,250003363,RUS,59960.0,59.972953,30.220533,St Petersburg,Gazprom Arena,Gazprom Arena,Gazprom Arena,41.30086724482989
Sweden,Ukraine,SWE,UKR,2020,2021-06-29,2021-06-29T19:00:00Z,,ROUND_OF_16,9221.0,62427,SCO,51824.0,55.8258583,-4.2519417,Glasgow,Hampden Park,Hampden Park,Hampden Park,17.792914479777707
England,Germany,ENG,GER,2020,2021-06-29,2021-06-29T16:00:00Z,,ROUND_OF_16,41973.0,1100043,ENG,87360.0,51.5558417,-0.2795972,London,Wembley Stadium,Wembley Stadium,Wembley Stadium,48.04601648351648
France,Switzerland,FRA,SUI,2020,2021-06-28,2021-06-28T19:00:00Z,,ROUND_OF_16,22642.0,250001298,ROU,54231.0,44.438192,26.151924,Bucharest,National Arena Bucharest,National Arena,National Arena Bucharest,41.751028009809886
Croatia,Spain,CRO,ESP,2020,2021-06-28,2021-06-28T16:00:00Z,,ROUND_OF_16,22771.0,63462,DEN,38052.0,55.7027611,12.572275,Copenhagen,Parken Stadium,Parken,Parken Stadium,59.84179543782193
Belgium,Portugal,BEL,POR,2020,2021-06-27,2021-06-27T19:00:00Z,,ROUND_OF_16,11504.0,74459,ESP,57619.0,37.4172611,-6.0046333,Seville,La Cartuja Stadium,La Cartuja de Sevilla,La Cartuja Stadium,19.965636335236642
Netherlands,Czechia,NED,CZE,2020,2021-06-27,2021-06-27T16:00:00Z,,ROUND_OF_16,52834.0,250004078,HUN,65014.0,47.503111,19.098024,Budapest,Puskás Aréna,Puskás Aréna,Puskás Aréna,81.2655735687698
Italy,Austria,ITA,AUT,2020,2021-06-26,2021-06-26T19:00:00Z,,ROUND_OF_16,18910.0,1100043,ENG,87360.0,51.5558417,-0.2795972,London,Wembley Stadium,Wembley Stadium,Wembley Stadium,21.64606227106227
Wales,Denmark,WAL,DEN,2020,2021-06-26,2021-06-26T16:00:00Z,,ROUND_OF_16,14645.0,62417,NED,53338.0,52.314172,4.94185,Amsterdam,Johan Cruijff ArenA,Johan Cruijff ArenA,Johan Cruijff ArenA,27.456972514904948
Germany,Hungary,GER,HUN,2020,2021-06-23,2021-06-23T19:00:00Z,Group F,GROUP_STANDINGS,12413.0,85441,GER,75000.0,48.2187944,11.6247306,Munich,Munich Football Arena,Fußball Arena München,Munich Football Arena,16.550666666666665
Portugal,France,POR,FRA,2020,2021-06-23,2021-06-23T19:00:00Z,Group F,GROUP_STANDINGS,55886.0,250004078,HUN,65014.0,47.503111,19.098024,Budapest,Puskás Aréna,Puskás Aréna,Puskás Aréna,85.95994708831944
Sweden,Poland,SWE,POL,2020,2021-06-23,2021-06-23T16:00:00Z,Group E,GROUP_STANDINGS,14252.0,250003363,RUS,59960.0,59.972953,30.220533,St Petersburg,Gazprom Arena,Gazprom Arena,Gazprom Arena,23.769179452968643
Slovakia,Spain,SVK,ESP,2020,2021-06-23,2021-06-23T16:00:00Z,Group E,GROUP_STANDINGS,11204.0,74459,ESP,57619.0,37.4172611,-6.0046333,Seville,La Cartuja Stadium,La Cartuja de Sevilla,La Cartuja Stadium,19.444974747913015
Czechia,England,CZE,ENG,2020,2021-06-22,2021-06-22T19:00:00Z,Group D,GROUP_STANDINGS,19104.0,1100043,ENG,87360.0,51.5558417,-0.2795972,London,Wembley Stadium,Wembley Stadium,Wembley Stadium,21.86813186813187
Croatia,Scotland,CRO,SCO,2020,2021-06-22,2021-06-22T19:00:00Z,Group D,GROUP_STANDINGS,9896.0,62427,SCO,51824.0,55.8258583,-4.2519417,Glasgow,Hampden Park,Hampden Park,Hampden Park,19.09539981475764
